"Name","Unknown 1","Value","Details"
"Peanut",0,10,"Heals 5 vitality"
"Rat meat",0,5,"Heals 8 vitality"
"Large rat meat",0,250,""
"Cigarette",0,25,"These are bad for you"
"Cigarette pack",0,500,"Contains 20 cigarettes"
"Cigarette carton",0,5000,"Contains 10 packs of cigarettes"
"Rusty key",0,250,"A rusty key for opening flimsy chests"
"Beef jerky",0,20,"Heals 100 vitality"
"Portal token",0,1,"Returns you to an Inn"
"Bloody rat meat",0,250,""
"Banquet hall key",0,1000,"Opens the banquet hall."
"Armory key",0,1000,"Opens the Armory."
"Throne hall key",0,0,""
"Numbing poison",0,125,"Rogue level 9, decreases evade"
"Yoon Lee's son",0,0,""
"Bee poison",0,0,"Deals minor damage over time"
"East statue key",0,0,""
"Wine",0,10,"This is bad for you"
"West statue key",0,0,""
"Clove pipe",0,250,"100 mana per puff, 100 puffs."
"DragonBerry",0,0,""
"Allium",0,5000,"A fragrant purple flower."
"Spice pipe",0,500,"250 mana per puff, 100 puffs"
"Steel key",0,1000,"Looks like this could open a Chest."
"Obsidian key",0,2000,"This appears to be a durable key."
"Rose",0,400,"A delightful rose."
"Violet",0,500,"A small violet."
"Golden egg",0,4000,"A golden Owl egg, rare and valuable."
"Owl egg",0,300,"An egg from an owl."
"Bee's wing",0,300,"The wing of a small bee."
"Bee's pollen",0,2500,"Pollen from a slain bee."
"Treasury key",0,1000,"Opens the treasury."
"Bee venom",0,250,"Rogue level 12, moderate damage"
"Frost Witch Body",0,0,""
"Greating healing potion",0,0,"Recover 1,200 Vita"
"Crude ore",0,5,"Unrefined crude ore"
"Ore",0,5,"Unrefined standard ore"
"Raw emerald",0,200,"Unrefined emerald gemstones"
"Iron",0,150,"A basic blacksmithing component"
"Coal",0,25,"Item used in blacksmithing"
"Steel",0,150,"An advanced blacksmithing metal"
"Frost essence",0,15000,"Essence of a cold heart."
"Maple wood",0,0,"A basic wood for carpenters"
"Cedar wood",0,0,"A medium wood for carpenters"
"Wood plank",0,150,"Refined wood for carpentry"
"Hardwood plank",0,600,"Refined wood for carpentry"
"Oak wood",0,0,"A hardwood for carpenters"
"Wooden board",0,150,"Refined wood for carpentry"
"Hardwood board",0,600,"Refined wood for carpentry"
"Night essence",0,10000,"The essence of pure darkness."
"Demonic fang",0,9000,""
"Smoldering ember",0,8000,"A smoldering ember from a flame demon."
"Werewolf Antidote",0,0,""
"Raw sapphire",0,400,"Unrefined sapphire gemstones"
"Damaged sword",0,1000000,"This sword has seen better days."
"Cage key",0,0,""
"Acid",0,450,"Rogue level 15, instant damage"
"Black poison",0,450,"Rogue level 18, damage over time"
"Eternal flame",0,500000,"This flame has been burning forever."
"Eternal frost",0,500000,"It's so cold you feel it in your soul."
"Master key",0,0,"A key for GMs"
"Dimensional fragment",0,5000,"A small fragment of a past dimension"
"Deadly venom",0,2500,"Rogue level 71, instant & DoT"
"Shiny ring",0,1000000,"This ring is very shiny."
"Interesting fungus",0,50000,"This seems quite intriguing."
"Ogre supply crate",0,10000,"A crate full of supplies."
"Divining rod",0,30000,""
"Frog slime",0,0,"Why is it so sticky?"
"Ethereal dust",0,0,""
"Cultist's staff",0,0,""
"Bear claw",0,7500,""
"Turtle scales",0,6000,""
"Black peanut",0,5500,""
"Delicious eggs",0,0,""
"Wolf meat",0,0,""
"Raw adamantite",0,500,"Unrefined strong material"
"Helper ticket",0,1000000,"You're a great help!"
"Mithril dust",0,5000,"Dust for making mithril"
"Mithril",0,10000,"A superior crafting metal"
"Uncovered artifact",0,20000,"This looks really old."
"Ethereal hair",0,4200,"The hair of a spirit. Spooky."
"Ghoul essence",0,6000,"Essence of a Ghoul"
"Adamantite",0,20000,"A hard crafting metal"
"Exceptional board",0,600,"Best wood for carpentry"
"Shuri's brew",0,100000,"Whew! Some strong stuff!"
"Toilet paper",0,10000,"Eat it faggot"
"Rabbit meat",0,5500,"Delicious"
"Fire rune",0,100000,""
"Frost rune",0,100000,""
"Arcane rune",0,100000,""
"Dark rune",0,100000,""
"Nature rune",0,100000,""
"Lesser rune",0,2500,"A lesser magical rune"
"Shiny pincer",0,20000,"Pincers in pristine condition"
"Aged pipe",0,5000,"750 mana per puff, 100 puffs"
"Army key",0,0,"Key to the guri barracks"
"Outpost",0,1000000,"Create an outpost in Battlegrounds"
"Outpost scroll",0,50,"Teleports to your clan outpost"
"Forest scroll",0,50,"Teleports you to the Forest Hall"
"Cave scroll",0,50,"Teleports you to Cavernous Hall"
"Guri visitor pass",0,1000,"Allows access to the Barracks"
"Emerald",0,500,"Emerald gemstone"
"Sapphire",0,1000,"A refined sapphire"
"Raw ruby",0,800,"Unrefined ruby gemstones"
"Ruby",0,1600,"A refined ruby"
"Sea orb",0,30000,"A shiny sea orb."
"Brilliant gem",0,75000,"This gem shines brilliantly"
"Black piece",0,5,"A piece for board games"
"White piece",0,5,"A piece for board games"
"Blue piece",0,5,"A piece for board games"
"Red piece",0,5,"A piece for board games"
"Green piece",0,5,"A piece for board games"
"Dimensional crystal",0,1200000,""
"Can of spam",0,7500,"Resets your sage aethers"
"Yellow piece",0,5,"A piece for board games"
"Large dice",0,1000,"100-sided die"
"Small dice",0,1000,"6-sided die"
"Medium dice",0,1000,"10-sided die"
"Dragon's dice",0,1000,"20-sided die"
"Arena scroll",0,500,"Teleports you to Guri Arena"
"Electrum ticket",0,50000,"Gives you 100 electrum when used"
"Small dog",0,10000,"A small dog"
"Small rabbit",0,10000,"A small rabbit"
"Trundel visitor pass",0,1000,"Allows access to the Barracks"
"Skin bleach",0,1000,"Restores that natural glow"
"Red skin dye",0,1000,"A severe case of sunburn"
"Pale skin dye",0,1000,"A little too much bleach, maybe?"
