"Mount #","Name","Monster # (RIDINGS.EPF)","Color #","Unknown 1","Speed","Alternate name"
"0","0000",0,25,0,50,
"1","0001",1,20,0,50,
"2","0002",2,5,0,50,
"3","0003",3,5,0,50,
"4","0004",4,0,0,50,
"5","0005",5,0,0,50,
"6","0006",6,0,0,50,
"7","0007",7,0,0,50,
"8","0008",8,0,0,50,
"9","0009",9,0,0,50,
"10","000A",10,0,0,50,
"11","000B",11,0,0,50,
"12","000C",12,0,0,50,
"13","000D",13,0,0,50,
"14","000E",14,0,0,50,
"15","000F",14,1,0,50,
"16","0010",14,2,0,50,
"17","0011",14,3,0,50,
"18","0012",14,4,0,50,
"19","0013",14,5,0,50,
"20","0014",14,6,0,50,
"21","0015",14,7,0,50,
"22","0016",14,8,0,50,
"23","0017",14,9,0,50,
"24","0018",14,10,0,50,
"25","0019",14,11,0,50,
"26","001A",14,12,0,50,
"27","001B",14,13,0,50,
"28","001C",14,14,0,50,
"29","001D",14,15,0,50,
"30","001E",15,0,0,50,
"31","001F",16,0,0,50,
"32","0020",16,1,0,50,
"33","0021",16,2,0,50,
"34","0022",16,3,0,50,
"35","0023",16,4,0,50,
"36","0024",16,5,0,50,
"37","0025",16,6,0,50,
"38","0026",16,7,0,50,
"39","0027",16,8,0,50,
"40","0028",16,9,0,50,
"41","0029",16,10,0,50,
"42","002A",16,11,0,50,
"43","002B",16,12,0,50,
"44","002C",16,13,0,50,
"45","002D",16,14,0,50,
"46","002E",16,15,0,50,
"47","002F",17,0,0,50,
"48","0030",17,1,0,50,
"49","0031",17,2,0,50,
"50","0032",17,3,0,50,
"51","0033",17,4,0,50,
"52","0034",17,5,0,50,
"53","0035",17,6,0,50,
"54","0036",17,7,0,50,
"55","0037",17,8,0,50,
"56","0038",17,9,0,50,
"57","0039",17,10,0,50,
"58","003A",17,11,0,50,
"59","003B",17,12,0,50,
"60","003C",17,13,0,50,
"61","003D",17,14,0,50,
"62","003E",17,15,0,50,
"63","003F",18,0,0,50,
"64","0040",18,1,0,50,
"65","0041",18,2,0,50,
"66","0042",18,3,0,50,
"67","0043",18,4,0,50,
"68","0044",18,5,0,50,
"69","0045",18,6,0,50,
"70","0046",18,7,0,50,
"71","0047",18,8,0,50,
"72","0048",18,9,0,50,
"73","0049",18,10,0,50,
"74","004A",18,11,0,50,
"75","004B",18,12,0,50,
"76","004C",18,13,0,50,
"77","004D",18,14,0,50,
"78","004E",18,15,0,50,
"79","004F",19,0,0,50,
"80","0050",19,1,0,50,
"81","0051",19,2,0,50,
"82","0052",19,3,0,50,
"83","0053",19,4,0,50,
"84","0054",19,5,0,50,
"85","0055",19,6,0,50,
"86","0056",19,7,0,50,
"87","0057",19,8,0,50,
"88","0058",19,9,0,50,
"89","0059",19,10,0,50,
"90","005A",19,11,0,50,
"91","005B",19,12,0,50,
"92","005C",19,13,0,50,
"93","005D",19,14,0,50,
"94","005E",19,15,0,50,
"95","005F",20,0,0,50,
"96","0060",20,1,0,50,
"97","0061",20,2,0,50,
"98","0062",20,3,0,50,
"99","0063",20,4,0,50,
"100","0064",20,5,0,50,
"101","0065",20,6,0,50,
"102","0066",20,7,0,50,
"103","0067",20,8,0,50,
"104","0068",20,9,0,50,
"105","0069",20,10,0,50,
"106","006A",20,11,0,50,
"107","006B",20,12,0,50,
"108","006C",20,13,0,50,
"109","006D",20,14,0,50,
"110","006E",20,15,0,50,
"111","006F",21,0,0,50,
"112","0070",21,1,0,50,
"113","0071",21,2,0,50,
"114","0072",21,3,0,50,
"115","0073",21,4,0,50,
"116","0074",21,5,0,50,
"117","0075",21,6,0,50,
"118","0076",21,7,0,50,
"119","0077",21,8,0,50,
"120","0078",21,9,0,50,
"121","0079",21,10,0,50,
"122","007A",21,11,0,50,
"123","007B",21,12,0,50,
"124","007C",21,13,0,50,
"125","007D",21,14,0,50,
"126","007E",21,15,0,50,
"127","007F",22,0,0,50,
"128","0080",22,1,0,50,
"129","0081",22,2,0,50,
"130","0082",22,3,0,50,
"131","0083",22,4,0,50,
"132","0084",22,5,0,50,
"133","0085",22,6,0,50,
"134","0086",22,7,0,50,
"135","0087",22,8,0,50,
"136","0088",22,9,0,50,
"137","0089",22,10,0,50,
"138","008A",22,11,0,50,
"139","008B",22,12,0,50,
"140","008C",22,13,0,50,
"141","008D",22,14,0,50,
"142","008E",22,15,0,50,
"143","008F",23,0,0,50,
"144","0090",23,1,0,50,
"145","0091",23,2,0,50,
"146","0092",23,3,0,50,
"147","0093",23,4,0,50,
"148","0094",23,5,0,50,
"149","0095",23,6,0,50,
"150","0096",23,7,0,50,
"151","0097",23,8,0,50,
"152","0098",23,9,0,50,
"153","0099",23,10,0,50,
"154","009A",23,11,0,50,
"155","009B",23,12,0,50,
"156","009C",23,13,0,50,
"157","009D",23,14,0,50,
"158","009E",23,15,0,50,
"159","009F",24,0,0,50,
"160","00A0",24,1,0,50,
"161","00A1",24,2,0,50,
"162","00A2",24,3,0,50,
"163","00A3",24,4,0,50,
"164","00A4",24,5,0,50,
"165","00A5",24,6,0,50,
"166","00A6",24,7,0,50,
"167","00A7",24,8,0,50,
"168","00A8",24,9,0,50,
"169","00A9",24,10,0,50,
"170","00AA",24,11,0,50,
"171","00AB",24,12,0,50,
"172","00AC",24,13,0,50,
"173","00AD",24,14,0,50,
"174","00AE",24,15,0,50,
"175","00AF",25,0,0,50,
"176","00B0",26,0,0,50,
"177","00B1",26,1,0,50,
"178","00B2",26,2,0,50,
"179","00B3",26,3,0,50,
"180","00B4",26,4,0,50,
