"Name","Unknown 1","Value","Durability","Armor","Hit","Damage","Vitality","Mana","Might","Grace","Will","Unknown 2","Unknown 3","Class","Unknown 4","Level","Regen","Protection","Damage S","Damage L"
"Gold bonnet",1,1000,40000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"regal vestment7",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Orchid elven tie",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Djinn headress30",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Hwalot pepper hat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Peach pinned flower",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Moss goth hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Bloodstone butterfly wings",1,1000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"White Mary Janes",1,1000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Sam san ju jak staff",10,350000,300000,0,0,0,0,45000,0,1,13,0,0,"Mage",3,99,0,0,30m35,35m40
"Do",10,100000,4000000,-2,2,2,5000,0,1,1,1,0,0,"Warrior",0,99,50,2,100m200,150m250
"Golden Lantern",1,20000,300000,-2,1,0,100,100,1,1,0,0,0,"Peasant",0,0,30,0,0,0
"Green stuffed bunny",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,1m20,1m20
"Platinum jubilee circlet",1,50000,20000,-4,0,0,0,0,1,1,1,0,0,"Peasant",0,11,0,0,0,0
"Gold Bangle",1,100000,10000,-4,0,1,0,0,0,0,0,0,0,"Peasant",0,50,5,2,0,0
"Quay holiday hat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Blonde musketeer hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Cocoa academy bowl",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Wony's sword",105,100000,500000,-1,4,4,8000,0,3,0,0,0,0,"Peasant",0,99,0,0,105m410,105m510
"Pearl ruffled hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Black frizzy",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Yellow rose bud",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Wolf sword",0,20000,60000,0,-1,0,0,0,0,0,0,0,0,"Peasant",0,11,0,0,30m70,40m70
"Red tea skirt",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Purple butterfly hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Heavy Bloodlust",115,400000,320000,-4,5,3,32000,8000,3,2,0,0,0,"Peasant",3,99,0,1,180m360,180m360
"Vitality Balance 244",1,10,1000000,0,0,0,-4880000,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Crimson wreath",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Titian ponytail",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Zinnwaldite kanzashi",1,1000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"baladi hair15",1,5000,270000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Thin comet scarf",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Cinnamon guan",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Black hair bun",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Guy test8",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Berry dainty bonnet",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Blue bandage",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Light green color cloak",1,50000,25000,-2,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Battle-ready Shinsho",30,1000000,4000000,-2,-3,4,4000,500,2,-3,-6,0,0,"Warrior",0,99,0,0,125m160,160m180
"Assassin kunoichi tunic",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Brown pirate footwear",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Brown ball gown",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Slate gomooshin",1,1000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Chef's hat",1,5000,30000,-10,0,0,0,0,0,0,0,0,0,"Peasant",0,0,20,0,0,0
"Parean foliole",1,40000,30000,-7,1,1,0,300,2,0,0,0,0,"Peasant",2,99,2,1,0,0
"Antique holiday cap",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"angel garb22",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Aqua board shorts",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Brown Valentine bow hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Star scale mail",1,9900,820000,-36,0,0,0,0,0,0,0,0,0,"Warrior",0,66,0,0,0,0
"tako hat11",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Mana Balance 211",1,10,1000000,0,0,0,0,-2110000,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Sea breeze quipaor",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Winter Kung fu",1,1000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Blonde summer tails",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Poppy love jokduri",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Ruby chongot",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Dazzling mountaineer garb",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Fiery pinwheel",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Green laceband hair",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Evergreen damsel dress",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Vivid top hat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Coral rudolph male coat",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Skyblue kangsee hood",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Samidare uchikake",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Melon sarong",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Rose skating dress",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Palm long sweep",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Vitality Balance 179",1,10,1000000,0,0,0,-3580000,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Domino pom garb",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Mana Balance 14",1,10,1000000,0,0,0,0,-140000,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Primogen of Oceana",0,100000,5000000,0,0,0,0,1000,0,0,12,0,0,"Peasant",0,70,0,0,90m90,100m100
"Rustic mountaineer attire",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Magnetic JiPanEe Tai",20,50000,100000,0,0,0,2000,2000,0,0,10,0,0,"Poet",0,99,100,0,50m75,50m75
"sky blue whiskers",1,20000,1,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Bad image do not use 2004060700",1,75000,50000,-10,0,0,75,75,0,4,0,0,0,"Peasant",0,11,15,0,0,0
"Auburn wise hair",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Amethyst ethereal gown",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Bald man",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Elendhirin sword",0,5000,1000000,0,5,5,0,0,0,0,0,0,0,"Peasant",0,50,0,0,50m100,50m110
"Ginger breezy cut",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Hellish Casque",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Cerulean mantiya",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Sun sprite glasses",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Copper circle",1,50000,250,-10,0,0,0,0,0,8,0,0,0,"Peasant",0,10,10,5,0,0
"Winter canary hat",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Winter Shimui",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Pastel nightgown",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Auburn goth locks",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Purple bow robe",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Her delightful pjs",1,5000,100000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Glitter kite",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,1m20,1m20
"Il san charm",40,200000,100000,-5,0,0,3000,6000,0,0,0,0,0,"Poet",1,99,50,0,1m2,1m2
"Dark tip",1,5000,100,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,800m1200,1000m1600
"Zesty tousled cut",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Silversky velutinous coat",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Vitality Balance 114",1,10,1000000,0,0,0,-2280000,0,0,0,0,0,0,"Peasant",0,1,0,0,0,0
"Pilgrim coif",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Sandy spiked cut",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
"Molten blade",100,600000,8000000,0,0,6,0,0,-4,0,0,0,0,"Peasant",2,99,6,0,130m280,150m300
"Purple Valentine dress",1,5000,400000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,0,0,0,0,0
