"Name","Unknown 1","Value","Details"
"Short olive hanbok package",1,100,
"Snake 1865",1,10,
"30,000 gold bar",1,30000,
"Short harvest baji package",1,100,
"Brown elk mount",1,1,
"Good eye",1,500,
"Dragon egg",1,10,
"Blue tree package",1,5000,
"White amber",1,1000,
"Enchanted charm - BONDED",1,200000,
"Ogre message 38",0,10,
"Stuffed fine metal bag",1,40000,
"Legend of the winds 2",1,2000,
"Pirate chest key",1,5000,
"Royal Heart",1,10,
"Mixed oil nut",1,100,
"Green crystal",1,10000,
"Pet Bear Cub",1,400,
"Teak hair potion",1,1,
"Coconut oil",1,1000,
"Pumpkin",1,1000,
"Easter gift box",1,1,
"Bleak polar bear",1,1,
"Yellow talisman",1,2000,
"Stone figure3",1,1000,
"Spicy chicken and pea noodles",1,5000,
"Snake 1866",1,10,
"His valentine pj package",1,300,
"Short tundra baji package",1,100,
"Sam San Dakashi Blade - BONDED",30,100000,
"Gold elk mount",1,1,
"Violet tree package",1,5000,
"50,000 gold bar",1,50000,
"Elder's Award",1,10,
"Treasure key 1",1,1,
"Golden Heart",1,10,
"Eli TestItem",1,4,
"grey van dike voucher",1,1,
"Harnessed Elemental Power",1,400,
"Tyranosaurus egg",1,2000,
"Green peacock mount",1,1,
"Tarnished wt amber",1,400,
"Brumal polar bear",1,1,
"Filled fine metal bag",1,40000,
"Stone figure4",1,1000,
"Snake 1867",1,10,
"Ogre message 39",0,10,
"Orange crystal",1,10000,
"Perfect black pearl",1,4000,
"Pet Panther Cub",1,400,
"Chestnut",1,10,
"Padauk hair potion",1,1,
"Snazzy girl package",1,300,
"Short terra firma baji package",1,100,
"Sea talisman",1,2000,
"Decoration gift box",1,1,
"Spicy egg and fish noodles",1,5000,
"Olive elk mount",1,1,
"Male clover package",1,300,
"Green Cheogori - BONDED",1,5000,
"Druid's Rose",1,1000,
"Treasure key 2",1,1,
"Sky Heart",1,10,
"Blood quiver",1,1000,
"Do - BONDED",1,100000,
"Star scale mail - BONDED",1,9900,
"blonde van dike voucher",1,1,
"Okhee's letter",1,100,
"Star robes - BONDED",1,10000,
"100,000 gold bar",1,100000,
"Snake 1868",1,10,
"Peanut costume",1,4,
"Raptor's egg",1,2000,
"Battle-ready Shinsho - BONDED",30,100000,
"Bottled darkness",1,400,
"Snazzy boy package",1,300,
"Short autumn baji package",1,100,
"Winter Qi Pao package",1,100,
"Female clover package",1,300,
"Green elk mount",1,1,
"Empty amber bag",1,40000,
"Perilla Kung fu package",1,100,
"Black Cheogori - BONDED",1,5000,
"Small black pearl",1,2000,
"Alteration ticket",1,2000,
"Plate of chestnuts",1,30,
"Treasure key 3",1,1,
"Sun Heart",1,10,
"Gold crystal",1,10000,
"Ogre message 40",0,10,
"Pet Quiggy",1,400,
"Maple hair potion",1,1,
"Blue scroll",1,1000,
"Spicy egg and beef noodles",1,5000,
"Evil eye",1,1000,
"Beach chest",1,1,
"scarlet van dike voucher",1,1,
"White Cloud mount",1,1,
"Token of devotion",1,1000,
"Snake 1869",1,10,
"Stone hammer",4,10,
"Cupid wing package",1,300,
"Short swamp baji package",1,100,
"200,000 gold bar",1,200000,
"Earth quiver",1,2400,
"Ancient Qi Pao package",1,100,
"Dark pine Kung fu package",1,100,
"Chicken's egg",1,2,
"White Cheogori - BONDED",1,5000,
"Grey elk mount",1,1,
"Treasure key 4",1,1,
"Moon Heart",1,10,
"Ayin Horoh",1,10000,
"Sa San Dakashi Blade - BONDED",30,100000,
"green van dike voucher",1,1,
"Perfect white pearl",1,4000,
"Dark Cloud mount",1,1,
"Spacious regular amber bag",1,40000,
"Snake 1870",1,10,
"Blue talisman",1,1500,
"Faded red crystal",1,10000,
"Pet Catapult",1,400,
"Spicy tiger meat noodles",1,5000,
"Ogre message 41",0,10,
"Trick or Treat bag",1,1,
"Bear package",1,300,
"Short jungle baji package",1,100,
"Blood Qi Pao package",1,100,
"Red Cheogori - BONDED",1,5000,
"Viridis Kung fu package",1,100,
"Shinho Bul   ",1,1,
"Black officer package",1,300,
"Green ceratops mount",1,1,
"Gator meat",1,10,
"300,000 gold bar",1,300000,
"Blackened crystal",1,10000,
"Moon scale mail - BONDED",1,17600,
"Theater ticket",1,2000,
"Faded Stone",1,100,
"Moon robes - BONDED",1,18000,
"Snake 1871",1,10,
"deep sea van dike voucher",1,1,
"Evening Cloud mount",1,1,
"Summer sheath",1,50,
"Large white pearl",1,3000,
