"Mount #","Name","Monster # (RIDINGS.EPF)","Color #","Unknown 1","Speed","Alternate name"
"1","Horse",0,25,0,50,
"2","Wony's panther",1,20,0,50,";백두흑표범 (Panther)"
"3","None",2,5,0,70,";암사슴 (Doe)"
"4","None",3,5,0,68,";숫사슴 (Deer)"
"5","None",4,0,0,255,";거북이 (Turtle)"
"6","None",5,0,0,60,";철갑마 (Armor horse)"
"7","None",6,0,0,56,";해태 (Dragon dog)"
"8","None",7,0,0,40,";백호 (Tiger)"
"9","None",0,31,0,70,";황마 (Horse)"
"10","None",0,19,0,64,";백마 (White horse)"
"11","Fox mount",0,3,0,50,
"12","None",1,0,0,50,";Midnight panther"
"13","None",1,20,0,50,";Black panther"
"14","None",1,21,0,50,";White panther"
"15","None",1,22,0,50,";Yellow panther"
"16","None",1,23,0,50,";Red panther"
"17","None",1,24,0,50,";Green panther"
"18","None",2,5,0,50,";Brown doe"
"19","None",2,0,0,50,";Green doe"
"20","None",2,30,0,50,";Yellow doe"
"21","None",2,28,0,50,";Black doe"
"22","None",2,29,0,50,";White doe"
"23","None",2,12,0,50,";Dark brown -- pirate coin"
"24","None",0,25,0,50,";Rideable horse -- pirate coin"
"25","None",0,18,0,50,";Black Rideable horse -- pirate coin"
"26","None",0,19,0,50,";White Rideable horse -- pirate coin"
"27","None",0,20,0,50,";Yellow Rideable horse -- pirate coin"
"28","Tutorial Horse",0,26,0,50,";Rideable horse -- Tutorial horse"
"29","None",5,0,0,50,";Armored horse"
"30","Headless Horse",0,31,0,50,";Headless horseman's horse"
"31","None",4,0,0,255 ;Seaweed turtle shell ,
"32","None",4,1,0,50,";Sky turtle shell"
"33","None",4,2,0,50,";Golden turtle shell"
"34","None",4,3,0,155,";Blush turtle shell"
"35","None",4,4,0,50,";Copper turtle shell"
"36","None",4,5,0,155,";Ambergris turtle shell"
"37","None",4,6,0,50  ;Floral turtle shell,""
"38","None",4,7,0,255,";Frost turtle shell"
"39","None",4,8,0,255,";Coral turtle shell"
"40","None",4,9,0,50,";Coco turtle shell"
"41","None",4,10,0,50,";Linen turtle shell"
"42","None",4,12,0,255,";Clay turtle shell"
"43","None",4,27,0,50,";Sunset turtle shell"
"44","None",4,28,0,50,";Holiday turtle shell"
"45","None",4,31,0,50,";Emerald turtle shell"
"46","None",3,0,0,50,";Argyle deer"
"47","None",3,1,0,50,";Andiron deer"
"48","None",3,2,0,50,";Manitou deer"
"49","None",3,3,0,50,";Rosemary deer"
"50","None",3,4,0,50,";Auburn deer"
"52","None",3,6,0,50,";Merioa deer"
"53","None",3,7,0,50,";Framboise deer"
"54","None",3,8,0,50,";Blissful deer"
"55","None",3,9,0,50,";Calimian deer"
"56","None",3,10,0,50,";Sika deer"
"57","None",3,11,0,50,";Roe deer"
"58","None",3,12,0,50,";Sunda deer"
"59","None",3,13,0,50,";Sambar deer"
"61","None",3,15,0,50,";Fallow deer"
"66","None",3,20,0,50,";Archon deer"
"71","None",3,25,0,50,";Fire deer"
"76","None",3,30,0,50,";Barasingha deer"
"77","None",3,31,0,50,";Rusa deer"
"78","None",8,0,0,50,";Very armored horse"
"79","None",9,0,0,50,";Zebra"
"80","None",10,0,0,50,";Mountain Goat"
"81","None",11,0,0,50,";Polar bear"
"82","None",12,0,0,50,";Horned tiger"
"83","None",13,0,0,50,";Red Gama"
"84","None",14,0,0,50,";Servant mount?"
"85","None",0,4,0,50,";Ranger Horse"
"86","None",6,0,0,56,";Tourmaline Dragon dog"
"87","None",6,1,0,56,";Alexandrite Dragon dog"
"88","None",6,3,0,56,";Bamboo Dragon dog "
"89","None",6,4,0,56,";Peridot Dragon dog"
