"Name","Unknown 1","Value","Durability","Armor","Hit","Damage","Vitality","Mana","Might","Grace","Will","Unknown 2","Unknown 3","Class","Unknown 4","Level","Regen","Protection","Damage S","Damage L"
"Wooden Saber",0,2,10000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,1,0,0,15m18,15m18
"Monastery Sword",0,10,50000,0,0,0,0,0,0,0,0,0,0,"Peasant",0,5,0,0,25m35,25m35
"Snow Saber",0,20,80000,0,0,0,0,0,0,0,0,50,0,"Peasant",0,8,0,0,50m75,50m75
"Wooden Sword",0,50,100000,0,0,0,0,0,0,0,0,50,0,"Peasant",0,10,0,0,80m100,80m100
"Poisonous Cane",0,100,100000,0,0,0,0,0,0,0,0,100,0,"Peasant",0,10,0,0,100m200,100m200
"Poisonous Wooden Saber",0,100,150000,0,0,0,0,0,0,0,0,100,0,"Peasant",0,15,0,0,200m300,200m300
"Poisonous Wooden Sword",0,100,200000,0,0,0,0,0,0,0,0,250,0,"Peasant",0,20,0,0,300m400,300m400
"Ilbon Knife",0,100,200000,0,0,0,0,0,0,0,0,250,0,"Peasant",0,20,0,0,400m500,400m500
"Flexible Wooden Saber",0,1000,250000,0,0,0,0,0,0,0,0,250,0,"Peasant",0,25,0,0,500m600,500m600
"Do Sword",0,1000,250000,0,0,0,0,0,0,0,0,250,0,"Peasant",0,25,0,0,600m700,600m700
"Power Pike",0,1000,300000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,30,0,0,700m800,700m800
"Flexible Wooden Sword",0,1000,300000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,30,0,0,800m900,800m900
"Rusted Sword",0,1000,300000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,30,0,0,900m1000,900m1000
"Chopping Knife",0,1000,300000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,30,0,0,1000m1100,1000m1100
"Dagger",0,1000,350000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,35,0,0,1100m1200,1100m1200
"Rentet Dagger",0,1000,350000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,35,0,0,1200m1300,1200m1300
"Sharp Dagger",0,1000,350000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,35,0,0,1300m1400,1300m1400
"Steel Sword",0,1000,350000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,35,0,0,1400m1500,1400m1500
"Fox Blade",0,1000,350000,0,0,0,0,0,0,0,0,500,0,"Peasant",0,35,0,0,1500m1600,1500m1600
"Iron Saber",0,1000,400000,0,0,0,0,0,0,0,0,750,0,"Peasant",0,40,0,0,1600m1700,1600m1700
"Sharp Iron Saber",0,1000,400000,0,0,0,0,0,0,0,0,750,0,"Peasant",0,40,0,0,1700m1800,1700m1800
"Iron Sword",0,1000,450000,0,0,0,0,0,0,0,0,1000,0,"Peasant",0,45,0,0,1800m1900,1800m1900
"Sharp Iron Sword",0,1000,450000,0,0,0,0,0,0,0,0,1000,0,"Peasant",0,45,0,0,1900m2000,1900m2000
"Hunang Axe",0,1000,450000,0,0,0,0,0,0,0,0,1000,0,"Peasant",0,45,0,0,2000m2100,2000m2100
"Bekyun Pike",0,1000,700000,0,0,0,3000,0,0,0,0,4500,0,"Peasant",0,70,0,0,5000m5500,5000m5500
