<00:23> User: Gracia IP: 202.67.44.12

<00:31> User: Sanji IP: 39.254.67.238

<00:47> User: VinCenTZz IP: 202.178.126.78

<01:17> User: Sanji IP: 39.254.67.238

<01:25> User: ZapCure IP: 125.161.9.45

<01:48> User: god IP: 114.125.9.197

<02:03> User: Sanji IP: 39.254.67.238

<02:03> User: ZapCure IP: 125.161.9.45

<02:21> User: god IP: 114.125.9.197

<02:37> User: VinCenTZz IP: 202.178.126.78

<02:55> User: Mosessio IP: 114.125.9.197

<03:04> User: God IP: 114.125.9.197

<03:04> User: Sanji IP: 39.254.67.238

<03:15> User: ZapCure IP: 125.161.9.45

<05:07> User: edric IP: 114.124.3.139

<05:54> User: god IP: 114.125.9.197

<07:22> User: Sanji IP: 39.254.67.238

<07:54> User: ZapCure IP: 118.136.106.205

<08:37> User: God IP: 110.232.94.245

<09:11> User: Mosessio IP: 110.232.94.245

<10:15> User: NewBie IP: 103.252.200.241

<10:41> User: Roku IP: 114.79.47.43

<10:41> User: Sanji IP: 39.254.67.238

<11:16> User: ZapCure IP: 118.136.106.205

<11:36> User: NewBie IP: 103.252.200.241

<11:57> User: God IP: 110.232.94.245

<11:57> User: Sanji IP: 39.254.67.238

<12:05> User: ZapCure IP: 118.136.106.205

<12:07> User: yagammi IP: 115.178.192.237

<12:23> User: Sanji IP: 39.254.67.238

<13:15> User: Sanji IP: 39.254.67.238

<13:24> User: Sanji IP: 39.254.67.238

<13:41> User: Sanji IP: 39.254.67.238

<13:53> User: god IP: 180.251.54.208

<14:02> User: god IP: 180.251.54.208

<14:03> User: Sanji IP: 39.254.67.238

<14:25> User: BAJINGOS IP: 36.81.26.170

<14:28> User: God IP: 180.251.54.208

<14:28> User: Sanjicid IP: 39.254.67.238

<17:41> User: Roku IP: 114.79.47.43

<20:01> User: NewBie IP: 103.252.200.241

<21:21> User: Sanji IP: 114.124.30.189

<22:44> User: Bakia IP: 125.163.152.99

<22:54> User: Sikia IP: 125.163.152.99

<23:14> User: Bakia IP: 125.163.152.99

<23:30> User: edric IP: 114.124.3.139

